Gender,Age,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
Female,37,9,mising,Yes,No,Yes,Cable,No,No,Yes,Yes,No,No,Yes,One Year,Credit Card,65.6,0.0,0,381.51,974.81,Stayed,mising,mising
Male,46,9,mising,Yes,Yes,Yes,Cable,No,No,No,No,Yes,Yes,No,Month-to-Month,Credit Card,-4.0,38.33,10,96.21,610.28,Stayed,mising,mising
Male,50,4,Offer E,Yes,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,73.9,0.0,0,134.6,415.45,Churned,Competitor,Competitor had better devices
Male,78,13,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,98.0,0.0,0,361.66,1599.51,Churned,Dissatisfaction,Product dissatisfaction
Female,75,3,mising,Yes,No,Yes,Fiber Optic,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Credit Card,83.9,0.0,0,22.14,289.54,Churned,Dissatisfaction,Network reliability
Female,23,9,Offer E,Yes,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Credit Card,69.4,0.0,0,150.93,722.38,Stayed,mising,mising
Female,67,71,Offer A,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Bank Withdrawal,109.7,0.0,0,707.16,8611.41,Stayed,mising,mising
Male,52,63,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,Yes,No,No,No,No,Two Year,Credit Card,84.65,0.0,20,816.48,6214.28,Stayed,mising,mising
Female,68,7,Offer E,Yes,No,Yes,DSL,Yes,No,No,No,No,No,Yes,Two Year,Bank Withdrawal,48.2,0.0,0,73.71,414.06,Stayed,mising,mising
Female,43,65,mising,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,90.45,0.0,0,1849.9,7807.8,Stayed,mising,mising
Male,47,54,mising,No,mising,Yes,Cable,Yes,No,Yes,Yes,No,No,Yes,Two Year,Credit Card,45.2,0.0,0,0.0,2460.55,Stayed,mising,mising
Female,25,72,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Credit Card,116.8,0.0,0,1152.72,9609.47,Stayed,mising,mising
Female,58,5,mising,Yes,No,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,68.95,0.0,0,93.25,444.75,Stayed,mising,mising
Female,32,72,Offer A,Yes,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Two Year,Bank Withdrawal,101.3,0.0,0,162.0,7423.25,Stayed,mising,mising
Female,39,56,mising,No,mising,Yes,DSL,Yes,Yes,Yes,No,No,No,Yes,Two Year,Bank Withdrawal,45.05,0.0,0,0.0,2560.1,Stayed,mising,mising
Female,58,71,Offer A,Yes,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Two Year,Credit Card,95.75,0.0,0,1935.46,8784.86,Stayed,mising,mising
Female,52,34,mising,No,mising,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,61.25,0.0,0,0.0,1993.2,Stayed,mising,mising
Male,79,45,mising,Yes,No,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,One Year,Credit Card,62.7,0.0,0,480.15,3271.65,Churned,Dissatisfaction,Limited range of services
Male,67,1,mising,No,mising,Yes,Cable,No,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,25.1,0.0,0,0.0,25.1,Churned,Competitor,Competitor made better offer
Female,79,50,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,25.2,0.0,0,1571.5,2877.8,Stayed,mising,mising
Female,26,13,mising,Yes,Yes,Yes,Fiber Optic,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,94.1,0.0,0,566.28,1781.88,Churned,Other,Don't know
Female,30,23,Offer D,Yes,Yes,Yes,Fiber Optic,No,No,No,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,83.75,0.0,0,802.93,2652.88,Stayed,mising,mising
Female,34,4,Offer E,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Month-to-Month,Credit Card,20.35,0.0,0,49.72,126.07,Churned,Price,Long distance charges
Female,37,1,mising,No,mising,Yes,DSL,Yes,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,30.5,0.0,0,0.0,30.5,Churned,Attitude,Attitude of service provider
Female,37,55,mising,Yes,No,Yes,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Bank Withdrawal,103.7,0.0,20,1927.2,7603.95,Stayed,mising,mising
Male,42,54,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Credit Card,20.4,0.0,0,1063.8,2154.4,Stayed,mising,mising
Male,64,26,Offer C,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,19.6,21.25,0,980.2,1430.8,Stayed,mising,mising
Female,47,69,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,19.7,0.0,0,2648.91,4045.81,Stayed,mising,mising
Male,23,37,Offer C,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,One Year,Credit Card,91.2,0.0,0,1591.37,4838.92,Stayed,mising,mising
Female,48,49,Offer B,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,20.45,0.0,0,2429.42,3330.32,Stayed,mising,mising
Male,28,66,mising,Yes,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,-2.0,0.0,0,2888.82,10830.97,Stayed,mising,mising
Female,28,67,mising,Yes,No,No,mising,mising,mising,mising,mising,mising,mising,mising,One Year,Bank Withdrawal,20.55,30.53,0,1549.04,2861.91,Stayed,mising,mising
Male,33,20,mising,No,mising,Yes,Cable,Yes,Yes,Yes,No,No,No,Yes,Two Year,Credit Card,39.4,0.0,0,0.0,825.4,Stayed,mising,mising
Female,31,43,mising,Yes,Yes,No,mising,mising,mising,mising,mising,mising,mising,mising,Two Year,Bank Withdrawal,25.1,0.0,0,1317.52,2387.67,Stayed,mising,mising
