Gender,Age,Tenure in Months,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status
0,1,10.423196134831139,1,0,1,0,0,0,1,1,0,0,1,1,1,65.6,0.0,0.0,381.51,974.81,0
1,1,22.47570790739788,1,1,1,0,0,0,0,0,1,1,0,0,1,-4.0,38.33,10.0,96.21,610.28,0
1,1,4.0,1,0,1,2,0,1,0,0,0,0,1,0,0,73.9,0.0,0.0,134.6,415.45,1
1,2,13.0,1,0,1,2,0,1,0,1,1,0,1,0,0,98.0,0.0,0.0,361.66,1599.51,1
0,2,3.0,1,0,1,2,0,0,1,1,0,0,1,0,1,83.9,0.0,0.0,22.14,289.54,1
0,0,7.7067145711607505,1,0,1,0,0,0,1,1,1,1,1,0,1,69.4,0.0,0.0,150.93,722.38,0
0,2,71.0,1,0,1,2,1,1,1,1,1,1,1,2,0,109.7,0.0,0.0,707.16,8611.41,0
1,1,63.0,1,1,1,2,1,0,1,0,0,0,0,2,1,84.65,0.0,20.0,816.48,6214.28,0
0,2,7.0,1,0,1,1,1,0,0,0,0,0,1,2,0,48.2,0.0,0.0,73.71,414.06,0
0,1,65.0,1,1,1,0,1,1,1,1,1,1,1,2,1,90.45,0.0,0.0,1849.9,7807.8,0
1,1,54.0,0,0,1,0,1,0,1,1,0,0,1,2,1,45.2,0.0,0.0,0.0,2460.55,0
0,0,72.0,1,1,1,2,1,1,1,1,1,1,1,2,1,116.8,0.0,0.0,1152.72,9609.47,0
0,1,5.0,1,0,1,2,0,0,0,0,0,0,1,0,0,68.95,0.0,0.0,93.25,444.75,0
0,1,72.0,1,1,1,2,1,1,0,1,0,0,1,2,0,101.3,0.0,0.0,162.0,7423.25,0
0,1,56.0,0,0,1,1,1,1,1,0,0,0,1,2,0,45.05,0.0,0.0,0.0,2560.1,0
0,1,71.0,1,1,1,2,0,1,0,0,1,1,1,2,1,95.75,0.0,0.0,1935.46,8784.86,0
0,1,34.0,0,0,1,1,1,1,1,1,1,1,1,1,1,61.25,0.0,0.0,0.0,1993.2,0
